OTU ID,X101.10T1,X101.11T1,X101.12T1,X101.13T1,X101.14T1,X101.15T1,X101.1T1,X101.2T1,X101.3T1,X101.4T1,X101.5T1,X101.6T1,X101.7T1,X101.8T1,X101.9T1,C.10T1,C.11T1,C.12T1,C.13T1,C.14T1,C.15T1,C.1T1,C.2T1,C.3T1,C.4T1,C.5T1,C.6T1,C.7T1,C.8T1,C.9T1
Zotu841,2,2,5,1,3,3,10,2,2,5,3,5,5,1,9,0,3,4,12,3,1,1,1,3,4,5,1,5,1,6
Zotu282,13,5,2,12,2,1,9,8,3,4,4,4,4,2,6,9,8,7,0,3,3,9,0,2,1,2,0,0,4,3
Zotu878,6,17,15,28,15,32,22,53,25,7,50,7,51,9,22,8,3,3,13,7,4,2,3,3,2,6,3,3,1,9
Zotu685,3,0,18,0,0,1,0,0,0,0,26,0,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu656,7,1,2,4,1,2,9,4,2,10,1,10,1,2,5,2,5,11,36,9,7,4,60,15,4,37,26,4,2,26
Zotu778,2,2,0,0,2,1,2,11,0,2,0,1,0,9,1,3,7,0,0,0,0,0,0,1,0,0,1,0,0,1
Zotu323,1,0,0,1,0,2,0,0,0,1,0,0,3,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zotu429,1,5,2,3,1,1,1,3,1,3,0,3,5,0,2,1,6,6,5,2,11,1,5,5,4,9,10,3,7,5
Zotu897,1,1,1,1,0,1,2,0,1,0,0,0,3,0,1,2,3,0,0,0,3,0,1,0,0,5,1,0,0,1
Zotu259,23,0,0,0,0,0,1,0,1,0,0,14,0,2,1,1,29,37,14,1,7,10,24,3,76,10,33,2,22,16
Zotu821,1,2,1,27,0,4,6,5,0,1,1,0,6,1,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu526,6,13,4,5,6,3,4,4,19,9,14,14,26,6,8,2,7,10,8,3,9,1,6,5,6,39,9,2,4,9
Zotu591,1,3,4,4,5,2,4,0,6,2,0,7,3,6,9,4,5,1,6,2,8,2,4,4,6,11,11,2,3,4
Zotu325,15,3,0,0,3,2,1,5,2,0,1,3,1,7,12,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Zotu794,7,0,0,0,0,1,0,0,0,2,0,11,0,0,0,0,5,17,39,4,1,1,0,0,3,4,13,21,33,0
Zotu604,2,1,0,0,1,0,5,0,2,2,0,5,0,5,2,4,0,5,15,0,11,7,21,12,4,27,29,6,10,41
Zotu329,9,6,1,3,1,4,6,4,15,3,4,4,6,0,8,5,8,7,8,5,5,16,4,1,35,4,1,5,15,3
Zotu594,5,2,0,3,4,6,2,0,5,6,0,0,4,7,3,4,3,4,1,5,3,3,1,7,20,3,2,2,2,4
Zotu781,5,2,3,1,2,4,2,1,18,2,4,7,19,0,2,5,0,0,0,4,7,0,0,0,0,0,1,0,0,0
Zotu898,2,0,6,4,8,4,15,1,4,1,2,4,5,2,6,1,0,0,0,1,2,0,0,0,2,0,0,0,2,0
Zotu679,4,6,0,5,1,1,3,4,4,1,1,3,0,0,15,4,1,0,1,0,1,0,0,0,0,2,0,0,1,0
Zotu520,4,1,3,8,0,6,2,0,0,11,0,5,3,3,2,6,6,12,34,9,9,4,19,10,31,22,20,19,21,22
Zotu408,11,8,40,3,7,15,32,4,18,7,4,12,28,3,11,3,7,4,5,0,0,0,0,4,10,2,8,2,2,0
Zotu449,1,0,0,2,2,2,0,0,0,1,0,1,1,0,1,2,20,130,33,8,2,1,0,12,22,1,13,9,1,0
Zotu337,6,5,5,2,3,0,2,1,1,1,1,2,3,1,3,0,3,4,4,1,2,0,3,0,0,6,5,4,3,3
Zotu697,5,6,2,0,1,5,0,1,9,4,2,7,3,3,2,0,0,0,1,7,0,0,0,0,0,4,0,0,0,0
Zotu352,7,5,6,6,1,6,2,0,0,6,1,6,3,1,3,2,1,5,5,3,1,2,5,2,4,2,1,0,1,3
Zotu740,2,2,3,6,7,1,0,5,3,3,2,0,2,1,9,2,1,0,0,0,1,1,0,3,1,0,0,1,0,0
Zotu768,2,0,1,0,0,7,0,0,5,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Zotu139,7,4,0,0,0,1,0,0,0,1,0,3,0,32,2,0,0,0,0,0,0,3,6,0,0,2,3,0,0,0
Zotu577,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Zotu136,7,51,16,1,4,12,0,19,6,1,11,0,3,0,4,133,63,5,1,0,1,17,0,0,0,1,2,6,2,0
Zotu167,5,5,2,1,1,14,6,2,4,24,5,6,6,15,7,8,15,8,2,14,20,1,3,5,18,7,2,13,30,1
Zotu569,5,1,1,0,4,5,4,0,0,1,0,2,0,1,2,4,7,5,1,3,3,1,8,5,2,1,3,2,4,2
Zotu552,3,2,0,0,1,18,3,5,1,0,2,2,0,0,1,0,0,1,0,0,0,0,0,2,10,0,1,0,0,0
Zotu788,5,3,2,2,8,7,7,1,4,2,2,5,9,3,3,2,1,8,2,0,4,0,2,1,1,5,2,0,1,6
Zotu634,9,7,2,14,0,7,7,3,4,8,2,7,5,12,13,4,6,9,6,11,6,9,8,2,4,5,6,8,8,14
Zotu786,2,1,0,0,1,1,0,0,2,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,10,0,1,0
Zotu400,3,5,4,3,3,2,8,7,5,3,3,5,9,7,6,2,1,3,1,1,2,0,1,4,4,10,2,5,2,5
Zotu578,1,1,4,1,0,3,0,0,10,1,0,1,7,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zotu458,9,0,0,1,4,19,2,0,0,1,0,2,2,0,6,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0
Zotu852,1,0,5,1,1,0,2,1,1,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0
Zotu928,3,2,0,0,1,0,0,4,0,0,0,16,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0
Zotu469,5,4,0,2,6,3,6,4,2,5,2,4,1,5,13,6,10,7,8,8,9,1,13,11,10,27,12,2,6,29
Zotu301,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu750,5,2,0,0,0,7,2,4,0,0,0,0,0,0,5,0,7,0,1,0,1,0,0,0,0,0,1,0,1,0
Zotu974,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Zotu499,5,4,1,5,1,0,4,1,3,4,1,3,4,8,16,7,9,10,15,4,16,2,39,6,15,16,20,8,6,30
Zotu340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Zotu453,2,3,0,0,4,2,1,5,3,3,0,17,0,3,8,7,0,0,0,2,1,9,0,3,4,0,0,0,3,0
Zotu312,2,11,1,7,7,6,7,3,7,13,12,11,11,9,2,5,1,3,0,5,4,0,2,4,0,0,1,4,0,6
Zotu549,2,0,0,0,0,0,0,0,0,0,0,10,1,0,2,2,44,2,0,11,0,1,0,0,0,0,20,12,1,1
Zotu631,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0
Zotu625,3,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
Zotu512,2,3,0,0,0,2,17,0,1,5,0,0,1,6,3,1,1,0,0,0,0,14,0,1,0,1,1,2,21,1
Zotu690,1,1,1,0,1,2,0,1,2,2,2,3,4,0,2,3,8,8,43,4,0,2,1,3,6,9,10,15,2,5
Zotu708,0,3,5,12,2,4,2,2,1,0,1,7,1,6,5,3,1,2,0,1,2,0,1,4,0,3,1,2,0,3
Zotu575,2,5,1,1,1,2,3,1,4,0,4,4,6,1,1,0,1,2,0,0,1,0,1,2,2,1,6,0,1,2
Zotu50,1,1,0,1,1,3,1,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,3
Zotu281,6,0,16,1,6,0,3,0,5,0,1,10,3,0,6,0,1,0,0,0,1,0,0,0,3,4,4,12,0,5
Zotu371,15,0,0,3,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,0,0,0,0,14,10,15,0,0,0
Zotu756,2,4,8,4,4,2,1,2,4,1,5,3,6,1,4,1,1,1,0,1,3,1,0,0,0,0,0,0,0,0
Zotu310,2,1,1,0,6,0,2,0,1,2,2,2,1,1,3,3,2,3,0,0,0,1,0,0,2,2,1,0,1,0
Zotu467,5,6,4,11,3,6,5,2,0,6,2,4,6,4,9,1,4,2,2,1,1,0,0,0,2,3,2,0,0,2
Zotu940,2,4,5,0,0,1,3,0,1,2,0,2,1,0,1,2,2,2,4,4,0,0,2,0,2,2,2,1,2,3
Zotu829,0,1,1,4,0,0,2,4,3,3,1,3,0,5,1,1,2,0,2,0,3,0,2,1,1,0,1,0,1,2
Zotu607,5,7,4,1,2,5,0,3,5,6,2,7,2,3,3,3,4,3,1,0,2,2,1,0,2,4,0,1,1,1
Zotu109,9,0,12,0,0,0,1,0,4,1,0,1,6,0,3,2,0,2,0,0,3,1,1,0,0,14,4,14,5,0
Zotu489,4,4,6,5,3,7,3,0,3,2,5,2,13,1,1,3,9,9,1,4,6,1,4,4,7,6,1,6,2,3
Zotu760,5,1,2,2,1,2,0,4,0,0,0,1,3,0,6,1,0,1,0,0,0,0,1,0,0,1,1,2,1,0
Zotu172,10,7,4,4,5,5,12,13,39,9,19,14,35,8,7,38,13,3,8,14,14,3,0,4,6,1,7,2,1,2
Zotu151,8,37,11,1,2,32,7,11,19,4,7,26,19,4,12,6,2,0,0,15,6,6,0,2,10,0,11,4,11,37
Zotu713,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,80,0,0,0,3,0,0,2,5,0,0,0
Zotu105,13,2,0,0,0,3,0,0,48,0,0,2,13,3,1,23,1,6,0,32,59,83,0,2,4,0,31,0,0,0
Zotu330,5,6,0,8,3,2,2,0,4,1,0,1,2,0,2,3,25,8,4,10,27,9,8,2,11,2,5,28,23,2
Zotu933,4,5,8,3,4,6,1,3,7,9,3,9,5,2,4,2,1,3,1,1,2,1,0,2,2,2,0,2,1,0
Zotu345,2,2,1,3,5,2,7,1,2,0,5,1,4,1,3,1,7,5,1,4,2,0,5,1,2,1,2,5,2,3
Zotu159,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,74,2,1,0,1,31,0,1,99,0,0,0,0,0
Zotu103,7,10,11,15,2,36,112,11,11,27,17,11,19,2,16,6,3,21,0,30,6,7,0,23,11,1,4,42,22,0
Zotu657,4,7,0,1,9,4,4,1,1,2,0,1,0,0,3,7,1,7,1,4,7,6,4,2,8,0,6,3,10,0
Zotu130,15,14,8,10,24,10,10,9,8,26,2,10,12,23,19,30,17,35,39,27,24,18,41,24,37,30,44,29,29,74
Zotu638,4,7,2,4,2,5,9,0,7,4,5,2,7,10,2,2,3,3,5,0,0,1,1,1,1,3,1,0,0,4
Zotu160,4,15,11,12,12,6,1,2,3,6,2,8,4,16,5,10,0,1,2,2,1,1,0,0,0,2,1,0,0,0
Zotu710,5,7,3,6,1,1,1,3,7,3,0,9,0,13,2,1,6,8,28,4,8,15,7,4,4,2,11,5,14,13
Zotu766,5,0,0,1,0,0,0,0,0,0,2,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0
Zotu464,7,6,6,3,22,5,5,1,11,5,5,7,5,4,4,0,0,4,6,2,4,7,1,0,9,8,12,3,26,4
Zotu258,2,2,0,1,3,0,1,0,2,3,0,5,1,0,5,4,11,4,6,9,6,3,5,2,7,7,24,13,15,4
Zotu784,5,1,12,1,0,1,1,7,3,3,3,5,3,0,2,2,0,0,0,0,0,0,0,0,1,0,0,18,0,0
Zotu722,1,2,8,10,1,4,3,4,0,3,3,9,4,5,10,2,1,0,0,0,2,0,0,4,1,2,1,1,2,0
