,Kingdom,Phylum,Class,Order,Family,Genus
Zotu401,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Zotu400,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu402,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Unsigned
Zotu404,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Zotu406,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Unsigned,Unsigned
Zotu405,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
Zotu408,Bacteria,Proteobacteria,Gammaproteobacteria,Unsigned,Unsigned,Unsigned
Zotu411,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
Zotu407,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Zotu410,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Zotu413,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Reyranella,Unsigned
Zotu409,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
Zotu412,Bacteria,p:Firmicutes,Bacilli,Bacillales,Bacillaceae_1,Geobacillus
Zotu414,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
Zotu415,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Dongia
Zotu417,Bacteria,Proteobacteria,Gammaproteobacteria,Unsigned,Unsigned,Unsigned
Zotu416,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu418,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu421,Bacteria,p:Firmicutes,Bacilli,Bacillales,Paenibacillaceae_1,Paenibacillus
Zotu420,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Zotu423,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter
Zotu419,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium
Zotu424,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Unsigned
Zotu426,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera
Zotu425,Bacteria,p:Firmicutes,Bacilli,Bacillales,Paenibacillaceae_1,Paenibacillus
Zotu428,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu429,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys
Zotu430,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas
Zotu427,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
Zotu431,Bacteria,Acidobacteria,Acidobacteria_Gp1,Gp1,Unsigned,Unsigned
Zotu432,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Zotu433,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Unsigned
Zotu434,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Unsigned,Unsigned
Zotu435,Bacteria,Acidobacteria,Acidobacteria_Gp1,Unsigned,Unsigned,Unsigned
Zotu437,Bacteria,Proteobacteria,Unsigned,Unsigned,Unsigned,Unsigned
Zotu436,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Unsigned
Zotu438,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
Zotu442,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Zotu441,Bacteria,p:Firmicutes,Bacilli,Bacillales,Paenibacillaceae_1,Paenibacillus
Zotu443,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Unsigned
Zotu444,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unsigned
Zotu447,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Unsigned
Zotu449,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Unsigned
Zotu446,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Zotu445,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
Zotu450,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Unsigned
Zotu448,Bacteria,p:Firmicutes,Bacilli,Bacillales,Paenibacillaceae_1,Paenibacillus
Zotu451,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
Zotu453,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Unsigned
Zotu452,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu454,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium
Zotu458,Bacteria,Unsigned,Unsigned,Unsigned,Unsigned,Unsigned
Zotu456,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
Zotu457,Bacteria,Acidobacteria,Acidobacteria_Gp10,Gp10,Unsigned,Unsigned
Zotu459,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Zotu455,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Zotu460,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
Zotu462,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Unsigned,Unsigned
Zotu461,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Unsigned
Zotu463,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
Zotu466,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Zotu464,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
Zotu465,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
Zotu467,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium
Zotu468,Bacteria,Proteobacteria,Alphaproteobacteria,Unsigned,Unsigned,Unsigned
Zotu469,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
Zotu470,Bacteria,Spirochaetes,Spirochaetia,Unsigned,Unsigned,Unsigned
Zotu471,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium
Zotu472,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu474,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Zotu473,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Zotu475,Bacteria,p:Firmicutes,Bacilli,Bacillales,Planococcaceae,Ureibacillus
Zotu476,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu479,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Zotu477,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
Zotu478,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia
Zotu480,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Zotu482,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophaga
Zotu481,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
Zotu485,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophaga
Zotu484,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Unsigned
Zotu483,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unsigned
Zotu486,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
Zotu488,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Unsigned
Zotu490,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella
Zotu487,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Zotu489,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_incertae_sedis,Rhizomicrobium,Unsigned
Zotu492,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys
Zotu494,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
Zotu497,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Zotu498,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Unsigned
Zotu500,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Unsigned
Zotu496,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
Zotu493,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu495,Bacteria,p:Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae_2,Planifilum
Zotu499,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Zotu501,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
Zotu503,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Taibaiella
Zotu505,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Unsigned
Zotu502,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Unsigned,Unsigned
Zotu507,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
Zotu504,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu506,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Zotu508,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
Zotu510,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unsigned
Zotu511,Bacteria,p:Firmicutes,Bacilli,Bacillales,Paenibacillaceae_1,Brevibacillus
Zotu512,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Unsigned
Zotu513,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella
Zotu516,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unsigned,Unsigned
Zotu515,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu517,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Zotu514,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Unsigned
Zotu519,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Unsigned,Unsigned
Zotu518,Bacteria,Proteobacteria,Deltaproteobacteria,Unsigned,Unsigned,Unsigned
Zotu520,Bacteria,Proteobacteria,Gammaproteobacteria,Unsigned,Unsigned,Unsigned
Zotu522,Bacteria,p:Firmicutes,Bacilli,Bacillales,Paenibacillaceae_1,Paenibacillus
Zotu523,Bacteria,p:Candidatus_Saccharibacteria,Saccharibacteria_genera_incertae_sedis,Unsigned,Unsigned,Unsigned
Zotu524,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophaga
Zotu525,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unsigned,Unsigned
Zotu526,Bacteria,p:Firmicutes,Bacilli,Bacillales,Bacillaceae_1,Bacillus
Zotu529,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Unsigned
Zotu531,Bacteria,p:Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XVIII,Symbiobacterium
Zotu527,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
Zotu528,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu530,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Zotu533,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Zotu532,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
Zotu534,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unsigned
Zotu535,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Zotu537,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Unsigned
Zotu536,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Zotu538,Bacteria,p:Firmicutes,Bacilli,Bacillales,Planococcaceae,Ureibacillus
Zotu539,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Unsigned
Zotu541,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unsigned,Unsigned
Zotu540,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Unsigned
Zotu542,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella
Zotu543,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Unsigned
Zotu544,Bacteria,Proteobacteria,Gammaproteobacteria,Unsigned,Unsigned,Unsigned
Zotu546,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Unsigned
Zotu545,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
Zotu547,Bacteria,p:Firmicutes,Bacilli,Bacillales,Unsigned,Unsigned
Zotu548,Bacteria,Proteobacteria,Alphaproteobacteria,Unsigned,Unsigned,Unsigned
Zotu549,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter
Zotu550,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Zotu553,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
Zotu551,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unsigned
Zotu554,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Zotu552,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Zotu555,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Unsigned
Zotu556,Bacteria,p:Firmicutes,Unsigned,Unsigned,Unsigned,Unsigned
Zotu558,Bacteria,Unsigned,Unsigned,Unsigned,Unsigned,Unsigned
Zotu557,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu559,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
Zotu561,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter
Zotu563,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
Zotu564,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
Zotu565,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Zotu567,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Zotu566,Bacteria,p:Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae_2,Planifilum
Zotu568,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
Zotu570,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Unsigned
Zotu572,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
Zotu571,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unsigned
Zotu569,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Reyranella,Unsigned
Zotu573,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unsigned
Zotu575,Bacteria,Proteobacteria,Alphaproteobacteria,Unsigned,Unsigned,Unsigned
Zotu574,Bacteria,p:Firmicutes,Bacilli,Bacillales,Paenibacillaceae_2,Unsigned
Zotu577,Bacteria,Proteobacteria,Deltaproteobacteria,Unsigned,Unsigned,Unsigned
Zotu576,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unsigned
Zotu578,Bacteria,Proteobacteria,Unsigned,Unsigned,Unsigned,Unsigned
Zotu579,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Zotu580,Bacteria,Unsigned,Unsigned,Unsigned,Unsigned,Unsigned
Zotu581,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unsigned
Zotu583,Bacteria,Proteobacteria,Unsigned,Unsigned,Unsigned,Unsigned
Zotu582,Bacteria,p:Firmicutes,Bacilli,Bacillales,Paenibacillaceae_1,Paenibacillus
Zotu584,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unsigned
Zotu585,Bacteria,Bacteroidetes,Unsigned,Unsigned,Unsigned,Unsigned
Zotu586,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Zotu587,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unsigned
Zotu588,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu590,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Zotu591,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys
Zotu592,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
Zotu589,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea
Zotu594,Bacteria,Proteobacteria,Alphaproteobacteria,Unsigned,Unsigned,Unsigned
Zotu593,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
Zotu597,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Unsigned
Zotu596,Bacteria,p:Firmicutes,Unsigned,Unsigned,Unsigned,Unsigned
Zotu595,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Unsigned
Zotu598,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
Zotu600,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter
Zotu601,Bacteria,Proteobacteria,Alphaproteobacteria,Unsigned,Unsigned,Unsigned
Zotu602,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Unsigned
Zotu603,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
Zotu606,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu605,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
Zotu604,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
Zotu608,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu607,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu611,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Unsigned
Zotu609,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Unsigned,Unsigned
Zotu610,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
Zotu612,Bacteria,p:Firmicutes,Bacilli,Bacillales,Unsigned,Unsigned
Zotu614,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Zotu613,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Dokdonella
Zotu615,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer
Zotu617,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Unsigned
Zotu616,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unsigned
Zotu618,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unsigned
Zotu619,Bacteria,p:Firmicutes,Bacilli,Bacillales,Paenibacillaceae_1,Paenibacillus
Zotu620,Bacteria,Proteobacteria,Unsigned,Unsigned,Unsigned,Unsigned
Zotu621,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys
Zotu623,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Zotu626,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Unsigned,Unsigned
Zotu625,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
Zotu622,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu628,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,Parachlamydia
Zotu627,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Reyranella,Unsigned
Zotu631,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Terrimonas
Zotu630,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
Zotu632,Bacteria,p:Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Tepidimicrobium
Zotu633,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_incertae_sedis,Unsigned,Unsigned
Zotu634,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
Zotu635,Bacteria,Proteobacteria,Gammaproteobacteria,Unsigned,Unsigned,Unsigned
Zotu636,Bacteria,p:Firmicutes,Bacilli,Unsigned,Unsigned,Unsigned
Zotu638,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium
Zotu639,Bacteria,Proteobacteria,Alphaproteobacteria,Sneathiellales,Unsigned,Unsigned
Zotu637,Bacteria,p:Firmicutes,Bacilli,Bacillales,Unsigned,Unsigned
Zotu640,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Unsigned
Zotu642,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Zotu643,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
Zotu641,Bacteria,Proteobacteria,Gammaproteobacteria,Unsigned,Unsigned,Unsigned
Zotu644,Bacteria,Proteobacteria,Deltaproteobacteria,Unsigned,Unsigned,Unsigned
Zotu645,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Unsigned,Unsigned
Zotu647,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,Neochlamydia
Zotu646,Bacteria,Proteobacteria,Unsigned,Unsigned,Unsigned,Unsigned
Zotu648,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
Zotu650,Bacteria,p:Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae_1,Unsigned
Zotu649,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Zotu651,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
Zotu652,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Unsigned
Zotu654,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Unsigned
Zotu653,Bacteria,Proteobacteria,Alphaproteobacteria,Unsigned,Unsigned,Unsigned
Zotu655,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
Zotu656,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
Zotu658,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella
Zotu659,Bacteria,Proteobacteria,Deltaproteobacteria,Unsigned,Unsigned,Unsigned
Zotu657,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
Zotu660,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu662,Bacteria,Acidobacteria,Acidobacteria_Gp1,Gp1,Unsigned,Unsigned
Zotu663,Bacteria,Acidobacteria,Acidobacteria_Gp1,Gp1,Unsigned,Unsigned
Zotu661,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu664,Bacteria,Acidobacteria,Acidobacteria_Gp10,Gp10,Unsigned,Unsigned
Zotu665,Bacteria,p:Firmicutes,Bacilli,Bacillales,Bacillaceae_1,Unsigned
Zotu666,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea
