,Kingdom,Phylum,Class,Order,Family,Genus
Zotu964,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unsigned,Unsigned
Zotu968,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Unsigned,Unsigned
Zotu965,Bacteria,p:Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae_1,Thermoactinomyces
Zotu967,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Unsigned
Zotu966,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Zotu969,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
Zotu970,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Zotu971,Bacteria,p:Firmicutes,Bacilli,Bacillales,Paenibacillaceae_1,Paenibacillus
Zotu972,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Reyranella,Unsigned
Zotu975,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Unsigned
Zotu974,Bacteria,p:Firmicutes,Bacilli,Bacillales,Paenibacillaceae_1,Paenibacillus
Zotu973,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
Zotu976,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Unsigned
